trial,stimulus,prime,word,responsetime,accuracy
1,38,NH1,payday,849,1
2,61,NL2,relax,753,1
3,29,PL2,morgue,761,1
4,23,PL1,fatal,767,1
5,60,NL2,arrest,803,1
6,63,NL2,excite,742,1
7,37,NH1,excite,682,1
8,13,PH2,fatal,982,1
9,3,PH1,relax,662,1
10,43,NH2,morgue,600,1
11,16,PH2,dismal,665,1
12,12,PH2,comfy,783,1
13,5,PH1,fatal,626,1
14,10,PH2,payday,996,1
15,50,NL1,dismal,757,1
16,35,NH1,morgue,475,2
17,11,PH2,relax,786,1
18,8,PH1,dismal,629,1
19,26,PL2,comfy,660,1
20,51,NL1,fatal,711,1
21,24,PL1,arrest,875,1
22,64,NL2,payday,608,1
23,32,PL2,arrest,699,1
24,46,NH2,payday,574,1
25,22,PL1,dismal,589,1
26,57,NL2,morgue,818,1
27,52,NL1,arrest,615,1
28,15,PH2,morgue,810,1
29,1,PH1,excite,989,1
30,6,PH1,arrest,539,1
31,40,NH1,comfy,626,1
32,45,NH2,excite,728,1
33,58,NL2,dismal,608,1
34,18,PL1,comfy,578,1
35,49,NL1,morgue,624,1
36,20,PL1,payday,729,1
37,17,PL1,relax,477,1
38,62,NL2,comfy,577,1
39,9,PH2,excite,758,1
40,39,NH1,relax,618,1
41,42,NH2,arrest,743,1
42,27,PL2,excite,680,1
43,2,PH1,payday,916,1
44,59,NL2,fatal,645,1
45,47,NH2,relax,606,1
46,4,PH1,comfy,609,1
47,56,NL1,payday,539,1
48,54,NL1,comfy,596,1
49,34,NH1,arrest,652,1
50,21,PL1,morgue,584,1
51,31,PL2,fatal,635,1
52,19,PL1,excite,578,1
53,53,NL1,relax,542,1
54,55,NL1,excite,560,1
55,28,PL2,payday,617,1
56,30,PL2,dismal,636,1
57,48,NH2,comfy,704,1
58,14,PH2,arrest,553,1
59,7,PH1,morgue,620,1
60,41,NH2,fatal,555,1
61,33,NH1,fatal,539,1
62,36,NH1,dismal,418,1
63,3,PH1,relax,522,1
64,48,NH2,comfy,457,1
65,17,PL1,relax,505,1
66,23,PL1,fatal,551,1
67,40,NH1,comfy,392,1
68,11,PH2,relax,362,1
69,27,PL2,excite,333,1
70,14,PH2,arrest,274,2
71,61,NL2,relax,536,1
72,55,NL1,excite,426,1
73,58,NL2,dismal,448,1
74,60,NL2,arrest,537,1
75,53,NL1,relax,510,1
76,43,NH2,morgue,492,1
77,24,PL1,arrest,443,1
78,45,NH2,excite,465,1
79,5,PH1,fatal,455,1
80,49,NL1,morgue,432,1
81,20,PL1,payday,391,1
82,37,NH1,excite,463,1
83,35,NH1,morgue,449,1
84,15,PH2,morgue,300,2
85,64,NL2,payday,486,1
86,63,NL2,excite,465,2
87,56,NL1,payday,512,1
88,50,NL1,dismal,565,1
89,7,PH1,morgue,535,1
90,34,NH1,arrest,459,1
